Legal entity,Project ID,Activity number,Activity name,Project date,Resource.Resource ID,Resource.Resource name,Description,Role ID,Hours,Line property,Cost price,Total cost amount,Sales currency,Sales price,Total sales amount,Description2,Invoice status,Transaction ID
301,A301_000254_041,,,2025-01-05 00:00:00,205695,Jamie Reed,,2072,1,F,73,73,EUR,0,0,,Nonchargeable,TR394936156580
301,A301_000254_041,,,2025-01-05 00:00:00,205695,Jamie Reed,,2072,0.25,DN,73,18.25,EUR,0,0,,Nonchargeable,TR811605418712
301,30100151,301000003467,Project management,2025-01-05 00:00:00,234671,Drew Knight,,2022,1,D,93.81,93.81,EUR,0,0,Status go-live + Go/No-go meeting,Nonchargeable,TR766026602327
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-05 00:00:00,205695,Jamie Reed,,2072,12,D,73,876,EUR,0,0,Verplaatsing + migratie productie databases and opstart bakken vullen,Nonchargeable,TR287410804707
301,30100151,301000010307,Standby fee,2025-01-05 00:00:00,205695,Jamie Reed,,2072,3,F,30,90,EUR,0,0,,Nonchargeable,TR901158030343
301,30100151,301000003477,Go-Live,2025-01-05 00:00:00,247052,Taylor Irving,,2040,11,H,89,979,EUR,0,0,Go-Live,Nonchargeable,TR277145114059
301,30100151,301000003477,Go-Live,2025-01-05 00:00:00,247052,Taylor Irving,,2040,11,D,89,979,EUR,0,0,,Nonchargeable,TR518597220210
301,30100151,301000003477,Go-Live,2025-01-05 00:00:00,247052,Taylor Irving,,2040,-11,H,89,-979,EUR,0,0,Correction -11 H,Nonchargeable,TR804054194082
301,30100151,301000003467,Project management,2025-01-06 00:00:00,234671,Drew Knight,,2022,1.5,H,93.81,140.72,EUR,0,0,Status go-live,Nonchargeable,TR712840989124
301,30100151,301000003478,Post Go-Live,2025-01-06 00:00:00,260217,Sage Mitchell,,2072,2,H,73,146,EUR,0,0,Remote Support after Go Live,Nonchargeable,TR852562516774
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-06 00:00:00,205695,Jamie Reed,,2072,8,H,73,584,EUR,0,0,Opstart inpak na mgiratie,Nonchargeable,TR953703406284
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-06 00:00:00,205695,Jamie Reed,,2072,5,O,73,365,EUR,0,0,Opstart inpak na mgiratie,Nonchargeable,TR349348354829
301,30100151,301000010307,Standby fee,2025-01-06 00:00:00,205695,Jamie Reed,,2072,1,F,30,30,EUR,0,0,,Nonchargeable,TR137889353643
301,30100151,301000003477,Go-Live,2025-01-06 00:00:00,247052,Taylor Irving,,2040,8,H,89,712,EUR,0,0,,Nonchargeable,TR447055029070
301,30100151,301000003477,Go-Live,2025-01-06 00:00:00,247052,Taylor Irving,,2040,4,O,89,356,EUR,0,0,,Nonchargeable,TR393780765787
301,30100106,301000008831,Development (Feature),2025-01-06 00:00:00,212676,Skyler Owen,,2073,8,H,88,704,EUR,0,0,11018 11693 Wizard: oil gas,Nonchargeable,TR332212511873
301,30100106,301000008832,Deployment,2025-01-06 00:00:00,270284,Quinn Fisher,,2073,3,H,53,159,EUR,0,0,Test servers gecontroleerd op ATS waardes en services van automatic naar manual gezet. Deployment liep stuk door services die automatisch draaiden. ATS Hotfix gemaakt zodat ATS waarde standaard goed staat na uitvoeren van upgrade.,Nonchargeable,TR446680801999
301,30100106,301000008835,Support (Internal),2025-01-06 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,"Overleg Jesse Talboom, Tom Verboven en Florian Smeyers over aanpak van FF QAS, ACC en TEST servers. Ook FF Project Status Meeting.",Nonchargeable,TR818172762479
301,30100106,301000008834,Documentation,2025-01-06 00:00:00,270284,Quinn Fisher,,2073,4,H,53,212,EUR,0,0,Documentatie / Guide schrijven op Wiki over Dashboards in Momentum. Hierbij gebruik makende van FF Dashboards.,Nonchargeable,TR535935878833
301,30100106,301000008836,Analysis,2025-01-06 00:00:00,216361,Harper Turner,,2075,1,H,91,91,EUR,0,0,"CR 15516
15549",Nonchargeable,TR605272201394
301,30100106,301000008833,Testing,2025-01-06 00:00:00,216361,Harper Turner,,2075,3,H,91,273,EUR,0,0,testen release bugs,Nonchargeable,TR388376437635
301,30100106,301000008831,Development (Feature),2025-01-06 00:00:00,249615,Reese Clarke,,2073,7.5,H,90,675,EUR,0,0,"11190 Aanmaken van jobs om consumptie en opkap te simuleren tbv gracefull recovery test, started fixing issues with feature.",Nonchargeable,TR371182647325
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-06 00:00:00,249615,Reese Clarke,,2073,0.5,H,90,45,EUR,0,0,[FF] Project Status Meeting.,Nonchargeable,TR717380026649
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-06 00:00:00,245082,Kendall Davies,,2022,3,H,95,285,EUR,0,0,,Nonchargeable,TR390077698664
301,A301_000233_062,,,2025-01-06 00:00:00,279131,Riley Lambert,,2073,0.5,H,71.66,35.83,EUR,0,0,,Nonchargeable,TR743158526982
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-07 00:00:00,295647,Logan Bennett,,2071,0.5,H,85,42.5,EUR,0,0,"QAS2, ACC en TEST Omgevingen meeting",Nonchargeable,TR540592919024
301,30100106,301000008830,Development (Bug),2025-01-07 00:00:00,295647,Logan Bennett,,2071,3.5,H,85,297.5,EUR,0,0,10970 IM testen Sint-Truiden,Nonchargeable,TR342072931479
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-07 00:00:00,212676,Skyler Owen,,2073,1,H,88,88,EUR,0,0,Stand-up + restore,Nonchargeable,TR658939878788
301,30100106,301000008831,Development (Feature),2025-01-07 00:00:00,212676,Skyler Owen,,2073,7,H,88,616,EUR,0,0,11018 11695 Wizard: sales units,Nonchargeable,TR200903882207
301,30100106,301000008832,Deployment,2025-01-07 00:00:00,270284,Quinn Fisher,,2073,5,H,53,265,EUR,0,0,Release van TEST omgevingen + mail. Test omgevingen controleren na release. Release ACC omgeving + mail. Daarna Lommel en Oudenhoorn volledig opgezet op ACC omgeving.,Nonchargeable,TR154785667210
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-07 00:00:00,270284,Quinn Fisher,,2073,2,H,53,106,EUR,0,0,"FF status meeting & meeting karakteristieken interface met Ronny Vermeiren en Jan van Doorslaer & meeting Tom Verboven, Jesse Talboom en Florian Smeyers over FF omgevingen (TEST, ACC, QAS)",Nonchargeable,TR223957493142
301,30100106,301000008831,Development (Feature),2025-01-07 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,FEATURE 11191 - Verder met ticket na overleg Jan en Ronny. Hierbij voornamelijk logica van characteristics mapper gecontroleerd.,Nonchargeable,TR787851215839
301,30100106,301000008836,Analysis,2025-01-07 00:00:00,216361,Harper Turner,,2075,3,H,91,273,EUR,0,0,15515,Nonchargeable,TR968270511233
301,30100106,301000008829,"Governance, Meetings (BA)",2025-01-07 00:00:00,216361,Harper Turner,,2075,2,H,91,182,EUR,0,0,"CR 13603
status meeting",Nonchargeable,TR566779112532
301,30100106,301000008833,Testing,2025-01-07 00:00:00,216361,Harper Turner,,2075,3,H,91,273,EUR,0,0,testen release bugs,Nonchargeable,TR171281034036
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-07 00:00:00,249615,Reese Clarke,,2073,0.5,H,90,45,EUR,0,0,FF] Project Status Meeting.,Nonchargeable,TR518264390725
301,30100106,301000008830,Development (Bug),2025-01-07 00:00:00,249615,Reese Clarke,,2073,7.5,H,90,675,EUR,0,0,"11805 OPC tags worden niet correct verwerkt in MOM, fixed bug.",Nonchargeable,TR681830843906
301,30100106,301000008834,Documentation,2025-01-07 00:00:00,247052,Taylor Irving,,2040,0.5,H,89,44.5,EUR,210.26,105.13,sap order Interface,Nonchargeable,TR112637644335
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-07 00:00:00,245082,Kendall Davies,,2022,4,H,95,380,EUR,0,0,,Nonchargeable,TR893195777447
301,30100151,301000003467,Project management,2025-01-07 00:00:00,234671,Drew Knight,,2022,5,H,93.81,469.05,EUR,0,0,Status go-live + issue list,Nonchargeable,TR847816305483
301,30100151,301000003478,Post Go-Live,2025-01-07 00:00:00,260217,Sage Mitchell,,2072,10,H,73,730,EUR,0,0,Remote Support after Go Live,Nonchargeable,TR692210657021
301,30100151,301000003478,Post Go-Live,2025-01-07 00:00:00,260217,Sage Mitchell,,2072,0.5,O,73,36.5,EUR,0,0,Call issue SSCC not received from SAP,Nonchargeable,TR395282771728
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-07 00:00:00,205695,Jamie Reed,,2072,8,H,73,584,EUR,0,0,Support + fixes na migratie,Nonchargeable,TR807675742947
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-07 00:00:00,205695,Jamie Reed,,2072,3,Y,73,219,EUR,0,0,check SQL issues production,Nonchargeable,TR221720126831
301,30100151,301000010306,Callout Fee,2025-01-07 00:00:00,205695,Jamie Reed,,2072,1,F,125,125,EUR,0,0,HYpercare Call 2 start 2:58,Nonchargeable,TR578001943304
301,30100151,301000010306,Callout Fee,2025-01-07 00:00:00,205695,Jamie Reed,,2072,1,F,125,125,EUR,0,0,Hypercare call 2 start 07:19,Nonchargeable,TR598895488714
301,30100151,301000010306,Callout Fee,2025-01-07 00:00:00,205695,Jamie Reed,,2072,1,F,125,125,EUR,0,0,hypercare Call 1 start 00:28,Nonchargeable,TR390853813771
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-07 00:00:00,205695,Jamie Reed,,2072,1.25,ON,73,91.25,EUR,0,0,Hypercare Call 1 @ 00:28,Nonchargeable,TR653930041483
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-07 00:00:00,205695,Jamie Reed,,2072,0.25,ON,73,18.25,EUR,0,0,Hypercare Call 2 @ 02:58,Nonchargeable,TR296546131054
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-07 00:00:00,205695,Jamie Reed,,2072,0.5,O,73,36.5,EUR,0,0,Hypercare Call 3 @ 07:19,Nonchargeable,TR429103158382
301,30100151,301000010307,Standby fee,2025-01-07 00:00:00,247052,Taylor Irving,,2040,1,F,30,30,EUR,0,0,,Nonchargeable,TR803694611575
301,30100151,301000010306,Callout Fee,2025-01-07 00:00:00,247052,Taylor Irving,,2040,1,F,125,125,EUR,0,0,,Nonchargeable,TR767900326356
301,30100151,301000003477,Go-Live,2025-01-07 00:00:00,247052,Taylor Irving,,2040,4,H,89,356,EUR,0,0,,Nonchargeable,TR268358041225
301,30100151,301000003477,Go-Live,2025-01-07 00:00:00,247052,Taylor Irving,,2040,1,Y,89,89,EUR,0,0,,Nonchargeable,TR939124570476
301,30100151,301000003477,Go-Live,2025-01-07 00:00:00,247052,Taylor Irving,,2040,1,O,89,89,EUR,0,0,Call Celavita - OPC Server reboot + confirmation + Geen SSCC generatie voor palletten aan de lijn.,Nonchargeable,TR693399334677
301,30100437,301000007446,Functional analysis,2025-01-07 00:00:00,210328,Emery Anderson,,2040,8,H,89,712,EUR,0,0,,Nonchargeable,TR958793742143
301,30100437,301000007446,Functional analysis,2025-01-08 00:00:00,210328,Emery Anderson,,2040,6,H,89,534,EUR,0,0,Service Review Session January 2024,Nonchargeable,TR683782409157
301,30100461,301000008929,ALINE - Activities,2025-01-08 00:00:00,272357,Morgan Edwards,,2072,1,H,79.94,79.94,EUR,0,0,OPC UA server,Nonchargeable,TR103944899549
301,30100151,301000003467,Project management,2025-01-08 00:00:00,234671,Drew Knight,,2022,2,H,93.81,187.62,EUR,0,0,Status go-live,Nonchargeable,TR454759765684
301,30100151,301000010306,Callout Fee,2025-01-08 00:00:00,295647,Logan Bennett,,2071,1,F,125,125,EUR,0,0,,Nonchargeable,TR119278414725
301,30100151,301000003478,Post Go-Live,2025-01-08 00:00:00,260217,Sage Mitchell,,2072,1,H,73,73,EUR,0,0,Remote Support after Go Live,Nonchargeable,TR438472520493
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-08 00:00:00,205695,Jamie Reed,,2072,8,H,73,584,EUR,0,0,Support + fixes na migratie,Nonchargeable,TR161157982007
301,30100151,301000010307,Standby fee,2025-01-08 00:00:00,247052,Taylor Irving,,2040,1,F,30,30,EUR,0,0,,Nonchargeable,TR190532572167
301,30100151,301000010306,Callout Fee,2025-01-08 00:00:00,247052,Taylor Irving,,2040,2,F,125,250,EUR,0,0,,Nonchargeable,TR635719463887
301,30100151,301000003477,Go-Live,2025-01-08 00:00:00,247052,Taylor Irving,,2040,1.5,ON,89,133.5,EUR,0,0,"2 calls from celavita  2:56 en 5:25
",Nonchargeable,TR176519237216
301,30100151,301000003477,Go-Live,2025-01-08 00:00:00,247052,Taylor Irving,,2040,5.5,H,89,489.5,EUR,0,0,,Nonchargeable,TR937424066816
301,30100151,301000003477,Go-Live,2025-01-08 00:00:00,247052,Taylor Irving,,2040,1.5,Y,89,133.5,EUR,0,0,,Nonchargeable,TR944101545574
301,30100106,301000008830,Development (Bug),2025-01-08 00:00:00,295647,Logan Bennett,,2071,6.5,H,85,552.5,EUR,0,0,"10970 IM testen Oudenhoorn en Lommel Ciris, Rework",Nonchargeable,TR237979090768
301,30100106,301000008831,Development (Feature),2025-01-08 00:00:00,212676,Skyler Owen,,2073,4,H,88,352,EUR,0,0,11018 11695 Wizard: sales units,Nonchargeable,TR622524651020
301,30100106,301000008831,Development (Feature),2025-01-08 00:00:00,212676,Skyler Owen,,2073,4,H,88,352,EUR,0,0,11018 11694 Wizard: empty pallets,Nonchargeable,TR705362105548
301,30100106,301000008832,Deployment,2025-01-08 00:00:00,270284,Quinn Fisher,,2073,5,H,53,265,EUR,0,0,Sint-Truiden ACC server klaar gemaakt. Release en restore mail gestuurd. Vervolgens achterhalen waarom SAP berichten van ACC naar PROD heeft gestuurd. Restore van PROD vóór release was boosdoener. Alle SAP interface berichten gemaild naar FF van ACC.,Nonchargeable,TR388472023723
301,30100106,301000008831,Development (Feature),2025-01-08 00:00:00,270284,Quinn Fisher,,2073,2,H,53,106,EUR,0,0,FEATURE 11191 - Characteristics mapper aangepast. Nieuwe veld toegevoegd aan kwaliteitsstandaard om te kijken of het SAP Managed is of niet.,Nonchargeable,TR566461768998
301,30100106,301000008836,Analysis,2025-01-08 00:00:00,216361,Harper Turner,,2075,6,H,91,546,EUR,0,0,"problemen mbt spookberichten
analyse cr15557 cr 15539",Nonchargeable,TR336070141120
301,30100106,301000008833,Testing,2025-01-08 00:00:00,216361,Harper Turner,,2075,2,H,91,182,EUR,0,0,Testing release tickets,Nonchargeable,TR696695139934
301,30100106,301000008831,Development (Feature),2025-01-08 00:00:00,249615,Reese Clarke,,2073,8,H,90,720,EUR,0,0,"11190 Aanmaken van jobs om consumptie en opkap te simuleren tbv gracefull recovery test, continued fixing issues with feature.",Nonchargeable,TR902107756371
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-08 00:00:00,247052,Taylor Irving,,2040,1,H,89,89,EUR,210.25,210.25,FF Team 2025,Nonchargeable,TR322006291036
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-08 00:00:00,245082,Kendall Davies,,2022,5,H,95,475,EUR,0,0,,Nonchargeable,TR442364508902
301,30100106,301000008830,Development (Bug),2025-01-09 00:00:00,295647,Logan Bennett,,2071,8,H,85,680,EUR,0,0,11177 outsort inpak Oudenhoorn,Nonchargeable,TR815849444665
301,30100106,301000008831,Development (Feature),2025-01-09 00:00:00,212676,Skyler Owen,,2073,8,H,88,704,EUR,0,0,11018 11694 Wizard: empty pallets,Nonchargeable,TR582640166001
301,30100106,301000008831,Development (Feature),2025-01-09 00:00:00,270284,Quinn Fisher,,2073,4,H,53,212,EUR,0,0,FEATURE 11191 - Nieuwe kolom toegevoegd bij kwaliteit op product. Een fout opgelost na het testen. SAP managed overal toegepast zodat niks overschreven of verwijderd wordt na nieuw interface bericht. Ook user story gemaakt voor bijbehorende ticket.,Nonchargeable,TR670799496139
301,30100106,301000008833,Testing,2025-01-09 00:00:00,270284,Quinn Fisher,,2073,3,H,53,159,EUR,0,0,"FEATURE 11191 - Testen van gemaakte feature. Lijkt goed te werken (zie bijbehorende user story), morgen doorlopen met Ronny Vermeiren.",Nonchargeable,TR230788137103
301,30100106,301000008830,Development (Bug),2025-01-09 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,"BUG 11806 - Uitzoeken hoe bestaande rapport layouts toegevoegd worden aan Momentum. Ronny sprak over update script in ticket, maar in update script hoeft niets aangepast te worden. Is gerelateerd aan deployment (release en kopiëren van bestanden naar VM)",Nonchargeable,TR345877882397
301,30100106,301000008836,Analysis,2025-01-09 00:00:00,216361,Harper Turner,,2075,4,H,91,364,EUR,0,0,"problemen mbt spookberichten
analyse cr 15539",Nonchargeable,TR469642176604
301,30100106,301000008829,"Governance, Meetings (BA)",2025-01-09 00:00:00,216361,Harper Turner,,2075,1,H,91,91,EUR,0,0,Meeting Quality met Joke,Nonchargeable,TR744335435865
301,30100106,301000008833,Testing,2025-01-09 00:00:00,216361,Harper Turner,,2075,1,H,91,91,EUR,0,0,Testing release tickets,Nonchargeable,TR351487177987
301,30100106,301000008831,Development (Feature),2025-01-09 00:00:00,249615,Reese Clarke,,2073,8,H,90,720,EUR,0,0,"11190 Aanmaken van jobs om consumptie en opkap te simuleren tbv gracefull recovery test, finished fixing issues with feature.",Nonchargeable,TR343045499634
301,30100106,301000008831,Development (Feature),2025-01-09 00:00:00,247052,Taylor Irving,,2040,4,H,89,356,EUR,210.25,841,,Nonchargeable,TR177340295766
301,30100106,301000008831,Development (Feature),2025-01-09 00:00:00,247052,Taylor Irving,,2040,4,Y,89,356,EUR,210.25,841,,Nonchargeable,TR794529888366
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-09 00:00:00,245082,Kendall Davies,,2022,5,H,95,475,EUR,0,0,,Nonchargeable,TR349360964064
301,30100151,301000003467,Project management,2025-01-09 00:00:00,234671,Drew Knight,,2022,2.5,H,93.81,234.53,EUR,0,0,Status go-live + uren boeken,Nonchargeable,TR178728590908
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-09 00:00:00,205695,Jamie Reed,,2072,8,H,73,584,EUR,0,0,Support + fixes na migratie,Nonchargeable,TR359906321488
301,30100151,301000010307,Standby fee,2025-01-09 00:00:00,247052,Taylor Irving,,2040,1,F,30,30,EUR,0,0,,Nonchargeable,TR835635458363
301,30100151,301000003477,Go-Live,2025-01-09 00:00:00,247052,Taylor Irving,,2040,4,H,89,356,EUR,0,0,,Nonchargeable,TR334013073383
301,30100461,301000008929,ALINE - Activities,2025-01-09 00:00:00,272357,Morgan Edwards,,2072,0.75,H,79.95,59.96,EUR,0,0,OPC UA server,Nonchargeable,TR244049912883
301,30100437,301000007446,Functional analysis,2025-01-09 00:00:00,210328,Emery Anderson,,2040,8,H,89,712,EUR,0,0,,Nonchargeable,TR730855031651
301,30100558,301000010166,Functional & technical analysis,2025-01-09 00:00:00,238427,Finley Jensen,,2075,1,H,91,91,EUR,0,0,interne kick-off,Nonchargeable,TR622165852995
301,30100558,301000010164,Project management,2025-01-09 00:00:00,234671,Drew Knight,,2022,1,H,93.81,93.81,EUR,0,0,Interne kick-off,Nonchargeable,TR960037124392
301,30100558,301000010166,Functional & technical analysis,2025-01-10 00:00:00,238427,Finley Jensen,,2075,4,H,91,364,EUR,0,0,"opzet project: EDMS, DevOps",Nonchargeable,TR986794666272
301,30100437,301000007446,Functional analysis,2025-01-10 00:00:00,210328,Emery Anderson,,2040,8,H,89,712,EUR,0,0,,Nonchargeable,TR307906739442
301,30100461,301000008929,ALINE - Activities,2025-01-10 00:00:00,272357,Morgan Edwards,,2072,3.75,H,79.94,299.78,EUR,0,0,OPC UA server,Nonchargeable,TR203484341332
301,30100151,301000003467,Project management,2025-01-10 00:00:00,234671,Drew Knight,,2022,4,H,93.81,375.24,EUR,0,0,Status go-live + uren boeken + aanpassingen DevOps,Nonchargeable,TR575276711930
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-10 00:00:00,205695,Jamie Reed,,2072,8,H,73,584,EUR,0,0,Support + fixes na migratie,Nonchargeable,TR565378164447
301,30100151,301000010307,Standby fee,2025-01-10 00:00:00,205695,Jamie Reed,,2072,1,F,30,30,EUR,0,0,,Nonchargeable,TR612866779068
301,30100106,301000008830,Development (Bug),2025-01-10 00:00:00,295647,Logan Bennett,,2071,8,H,85,680,EUR,0,0,11177 outsort inpak Oudenhoorn,Nonchargeable,TR902574067628
301,30100106,301000008831,Development (Feature),2025-01-10 00:00:00,212676,Skyler Owen,,2073,8,H,88,704,EUR,0,0,11018 11694 Wizard: empty pallets,Nonchargeable,TR838967038374
301,30100106,301000008835,Support (Internal),2025-01-10 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,Ronny Vermeiren helpen met het opzetten van Momentum omgevingen (lokaal).,Nonchargeable,TR210149503297
301,30100106,301000008834,Documentation,2025-01-10 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,FEATURE 11191 - Code documentatie toevoegen,Nonchargeable,TR542641960943
301,30100106,301000008831,Development (Feature),2025-01-10 00:00:00,270284,Quinn Fisher,,2073,2,H,53,106,EUR,0,0,FEATURE 11191 - Wijzingen aangebracht voor correct verwerken karakteristieken. Ook bug gevonden en opgelost: karakteristiek waarvan de naam twee keer voor kwam werd maar één keer toegevoegd. Alles leek nu in orde -> PR gemaakt.,Nonchargeable,TR472494841003
301,30100106,301000008833,Testing,2025-01-10 00:00:00,270284,Quinn Fisher,,2073,3,H,53,159,EUR,0,0,FEATURE 11191 - Het testen van de karakteristieken dmv interface-berichten aan te maken en kijken of de waardes niet overschreven werden wanneer het Momentum managed is.,Nonchargeable,TR371052246567
301,30100106,301000008830,Development (Bug),2025-01-10 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,BUG 11806 - Rapporten aangepast en PR gemaakt.,Nonchargeable,TR306981303296
301,30100106,301000008833,Testing,2025-01-10 00:00:00,216361,Harper Turner,,2075,6,H,91,546,EUR,0,0,testen IM consumption,Nonchargeable,TR591929601508
301,30100106,301000008830,Development (Bug),2025-01-10 00:00:00,249615,Reese Clarke,,2073,8,H,90,720,EUR,0,0,"10931 Te weinig consumptie van olie is niet te corrigeren in het Order afsluitscherm, continued fixing bug.",Nonchargeable,TR564458546356
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-10 00:00:00,245082,Kendall Davies,,2022,2,H,95,190,EUR,0,0,,Nonchargeable,TR405730753142
301,A301_000252_052,,,2025-01-10 00:00:00,295647,Logan Bennett,,2071,0.25,O,85,21.25,EUR,0,0,,Nonchargeable,TR372569912085
301,A301_000252_052,,,2025-01-10 00:00:00,295647,Logan Bennett,,2071,1,F,125,125,EUR,0,0,,Nonchargeable,TR585655080082
301,A301_000254_041,,,2025-01-10 00:00:00,205695,Jamie Reed,,2072,1,F,125,125,EUR,0,0,,Nonchargeable,TR704971771246
301,A301_000254_041,,,2025-01-10 00:00:00,205695,Jamie Reed,,2072,0.5,Y,73,36.5,EUR,0,0,,Nonchargeable,TR151960122341
301,A301_000254_041,,,2025-01-10 00:00:00,205695,Jamie Reed,,2072,0.5,D,73,36.5,EUR,0,0,,Nonchargeable,TR281403868608
301,A301_000254_040,,,2025-01-10 00:00:00,205695,Jamie Reed,,2072,0.5,Y,73,36.5,EUR,0,0,,Nonchargeable,TR634321479802
301,A301_000254_040,,,2025-01-10 00:00:00,205695,Jamie Reed,,2072,1,F,125,125,EUR,0,0,,Nonchargeable,TR333995652670
301,30100151,301000010307,Standby fee,2025-01-11 00:00:00,205695,Jamie Reed,,2072,2,F,30,60,EUR,0,0,,Nonchargeable,TR541800309361
301,30100151,301000010307,Standby fee,2025-01-12 00:00:00,205695,Jamie Reed,,2072,3,F,30,90,EUR,0,0,,Nonchargeable,TR168300472052
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-13 00:00:00,205695,Jamie Reed,,2072,5,H,73,365,EUR,0,0,"Status Meeting
+ Allcoate container max quantity popup
+ Fix lossreasons
+ Fix color grid containers priority",Nonchargeable,TR517318938760
301,30100151,301000003467,Project management,2025-01-13 00:00:00,234671,Drew Knight,,2022,4,H,93.81,375.24,EUR,0,0,Status meeting + prep/aftercare,Nonchargeable,TR389439657508
301,30100151,301000010307,Standby fee,2025-01-13 00:00:00,205695,Jamie Reed,,2072,1,F,30,30,EUR,0,0,,Nonchargeable,TR962972824015
301,30100461,301000008929,ALINE - Activities,2025-01-13 00:00:00,272357,Morgan Edwards,,2072,1.75,H,79.94,139.9,EUR,0,0,OPC UA server,Nonchargeable,TR601588311245
301,30100437,301000007446,Functional analysis,2025-01-13 00:00:00,210328,Emery Anderson,,2040,7,H,89,623,EUR,0,0,,Nonchargeable,TR565081604082
301,30100558,301000010166,Functional & technical analysis,2025-01-13 00:00:00,238427,Finley Jensen,,2075,1.5,H,91,136.5,EUR,0,0,status meeting,Nonchargeable,TR713249868174
301,30100106,301000008832,Deployment,2025-01-13 00:00:00,270284,Quinn Fisher,,2073,4,H,53,212,EUR,0,0,TASK 11863 - Development omgevingen updaten naar nieuwste Momentum versie en Lommel development pipeline proberen te fixen (offline),Nonchargeable,TR888821730785
301,30100106,301000008838,"Governance, Meetings (ENG)",2025-01-13 00:00:00,270284,Quinn Fisher,,2073,1,H,53,53,EUR,0,0,FF Team afstemming,Nonchargeable,TR269593962361
