project_id,start_date,end_date,name,price_per_hour,project_name
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,,137.81,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Jordan Palmer,146.25,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Kendall Davies,146.25,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Finley Jensen,125.25,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,,125.25,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,,125.25,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Riley Lambert,118.38,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,,118.38,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Taylor Irving,118.38,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,Jamie Reed,118.38,[MBC] - Momentum 4 Chocolate
PP108_20127,2024-01-01 00:00:00,2024-12-31 00:00:00,,146.25,[MBC] - Momentum 4 Chocolate
30100327,2024-01-01 00:00:00,2024-12-31 00:00:00,Logan Bennett,133.84,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2024-01-01 00:00:00,2024-12-31 00:00:00,Taylor Irving,133.84,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2024-01-01 00:00:00,2024-12-31 00:00:00,Riley Lambert,133.84,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2024-01-01 00:00:00,2024-12-31 00:00:00,Kendall Davies,150,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2024-01-01 00:00:00,2024-12-31 00:00:00,,133.84,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2025-01-01 00:00:00,2025-12-31 00:00:00,Logan Bennett,142.72,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2025-01-01 00:00:00,2025-12-31 00:00:00,Taylor Irving,142.72,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2025-01-01 00:00:00,2025-12-31 00:00:00,Riley Lambert,142.72,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,159.96,[Teijin Aramid] Several Changes and Upgrade 2024
30100327,2025-01-01 00:00:00,2025-12-31 00:00:00,,142.72,[Teijin Aramid] Several Changes and Upgrade 2024
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Harper Turner,143.53,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Reese Clarke,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Taylor Irving,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,167.45,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Logan Bennett,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Skyler Owen,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Avery Nelson,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Jamie Reed,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,Quinn Fisher,135.54,[FarmFrites] Completion of MOMS Project
30100106,2025-01-01 00:00:00,2025-12-31 00:00:00,,135.54,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Harper Turner,134.59,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Reese Clarke,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Taylor Irving,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Kendall Davies,157.02,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Logan Bennett,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Skyler Owen,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Avery Nelson,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Jamie Reed,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,Quinn Fisher,127.1,[FarmFrites] Completion of MOMS Project
30100106,2024-01-01 00:00:00,2024-12-31 00:00:00,,127.1,[FarmFrites] Completion of MOMS Project
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,,122.65,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,,122.65,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,,122.65,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,,129.11,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,Kendall Davies,151.25,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,,122.65,[VESTA] Ignition Historian Implementation
10800637,2024-01-01 00:00:00,2024-12-31 00:00:00,Taylor Irving,122.65,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,,126.73,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,,126.73,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,,126.73,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,,133.4,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,156.28,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,,126.73,[VESTA] Ignition Historian Implementation
10800637,2025-01-01 00:00:00,2025-12-31 00:00:00,Taylor Irving,126.73,[VESTA] Ignition Historian Implementation
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Harper Turner,143.53,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Reese Clarke,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Taylor Irving,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,167.45,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Logan Bennett,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Skyler Owen,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Avery Nelson,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Jamie Reed,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,Quinn Fisher,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,,135.54,[FF] MOMS implementation 2025
30100628,2025-01-01 00:00:00,2025-12-31 00:00:00,,135.54,[FF] MOMS implementation 2025
10801482,2025-01-01 00:00:00,2025-12-31 00:00:00,Finley Jensen,134.37,[Affilips] Voorstudie MES
10801482,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,143.75,[Affilips] Voorstudie MES
10801482,2025-01-01 00:00:00,2025-12-31 00:00:00,Taylor Irving,134.37,[Affilips] Voorstudie MES
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,Emery Anderson,120,Standic-TAA change requests TMS 2025
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,,120,Standic-TAA change requests TMS 2025
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,,120,Standic-TAA change requests TMS 2025
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,Sage Mitchell,120,Standic-TAA change requests TMS 2025
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,,120,Standic-TAA change requests TMS 2025
10801540,2025-01-01 00:00:00,2025-12-31 00:00:00,Cameron Walker,120,Standic-TAA change requests TMS 2025
30500297,2025-01-01 00:00:00,2026-12-31 00:00:00,Taylor Irving,112.3,[Mentor] Ignition Environment and DIP 1 Reporting Services
30500297,2025-01-01 00:00:00,2026-12-31 00:00:00,,142.6,[Mentor] Ignition Environment and DIP 1 Reporting Services
30500297,2025-01-01 00:00:00,2026-12-31 00:00:00,,112.3,[Mentor] Ignition Environment and DIP 1 Reporting Services
30500297,2025-01-01 00:00:00,2026-12-31 00:00:00,,112.3,[Mentor] Ignition Environment and DIP 1 Reporting Services
30500297,2025-01-01 00:00:00,2026-12-31 00:00:00,Kendall Davies,137.53,[Mentor] Ignition Environment and DIP 1 Reporting Services
30500298,2025-01-01 00:00:00,2026-12-31 00:00:00,Taylor Irving,112.3,[Mentor] PoC - SepaSoft
30500298,2025-01-01 00:00:00,2026-12-31 00:00:00,,142.6,[Mentor] PoC - SepaSoft
30500298,2025-01-01 00:00:00,2026-12-31 00:00:00,,112.3,[Mentor] PoC - SepaSoft
30500298,2025-01-01 00:00:00,2026-12-31 00:00:00,,112.3,[Mentor] PoC - SepaSoft
30500298,2025-01-01 00:00:00,2026-12-31 00:00:00,Kendall Davies,137.53,[Mentor] PoC - SepaSoft
